pdt_name,pdt_name_clean,pdt_cas,브랜드명,규격/스펙
"Stainless-steel Petri-Dish, Φ60?Φ120×h20mm with Cover, Fine-polished, 스텐레스 패트리디쉬","stainless-steel petri-dish, φ60?φ120×h20mm with cover, fine-polished, 스텐레스 패트리디쉬",,,
"Absorbent Pad Petri Dishes, Φ50×h9 mm, Accommodate Φ47mm Membrane Filters Ideal for Culturing Micro-organism on Agar or Media, 흡수패드 디쉬","absorbent pad petri dishes, φ50×h9 mm, accommodate φ47mm membrane filters ideal for culturing micro-organism on agar or media, 흡수패드 디쉬",,,
"Evaporating Dishes, Borosilicate Glass 3.3, 15~2500㎖, 글라스 증발 접시","evaporating dishes, borosilicate glass 3.3, 15~2500㎖, 글라스 증발 접시",,,
"Glazed Porcelain Evaporating Dishes, with Spout, 22~8,500㎖ up to 1000℃, Flat- & Deep-form, 자제 증발 접시, 평형 & 둥근 바닥형, 내/외면 유약처리","glazed porcelain evaporating dishes, with spout, 22~8,500㎖ up to 1000℃, flat- & deep-form, 자제 증발 접시, 평형 & 둥근 바닥형, 내 외면 유약처리",,,
"Quartz Evaporating Dishes, 10~320㎖ 석영 증발접시, max 1250℃ in use, Softening Point 1680℃","quartz evaporating dishes, 10~320㎖ 석영 증발접시, max 1250℃ in use, softening point 1680℃",,,
"Kidney Dishes / Basin농반, Stainless-steel 및 White pp ","kidney dishes basin농반, stainless-steel 및 white pp",,,
"Vacuum Tube Adapters, with Side Stem Stopcock for Low~Middle Vacuum, 스탑콕 시험관","vacuum tube adapters, with side stem stopcock for low~middle vacuum, 스탑콕 시험관",,,
"PP 170㎖ Specimen/Drosophila-Bottle & PE Snap Cap, Graduated with Pour Spout, Stable Square Base, -10℃~+125/140℃, PP샘플/초파리 병","pp 170㎖ specimen drosophila-bottle & pe snap cap, graduated with pour spout, stable square base, -10℃~+125 140℃, pp샘플 초파리 병",,,
"CHMLAB Ashless Hardened Quantitative Filter Papers, Batch Traceable, 정량여과지","chmlab ashless hardened quantitative filter papers, batch traceable, 정량여과지",,,
"CHMLAB PVDF Syringe Filters, Hydrophobic, Batch Traceable, Φ25mm with PP Housing, Ready-to-Use, PVDF 시린지 필터","chmlab pvdf syringe filters, hydrophobic, batch traceable, φ25mm with pp housing, ready-to-use, pvdf 시린지 필터",,,
"DURAN 3 ~ 20 Lit Filtering Bottles, Boro-glassα3.3, 3~20Lit for High Vacuum, Heavy-Duty, 3~20Lit 여과병","duran 3 ~ 20 lit filtering bottles, boro-glassα3.3, 3~20lit for high vacuum, heavy-duty, 3~20lit 여과병",,,
"2~50Lit. PTFE Drain-valved Reaction Flasks Mantles, with 45°DN-flange/O-ring Groove 배출 밸브형 진공 / 압력 반응 플라스크, O-링 홈부, 완벽한 호환성 표준화 규격","2~50lit. ptfe drain-valved reaction flasks mantles, with 45°dn-flange o-ring groove 배출 밸브형 진공 압력 반응 플라스크, o-링 홈부, 완벽한 호환성 표준화 규격",,,
"DIN Joint PE/PP Stoppers, with Octagonal-Head, 7/16 ~ 60/46 Excellent Sealing, Non-Breakage, Good Grip, PE & PP 스토퍼, DIN 규격","din joint pe pp stoppers, with octagonal-head, 7 16 ~ 60 46 excellent sealing, non-breakage, good grip, pe & pp 스토퍼, din 규격",,,
"Stainless-steel Funnel, High Quality, Medical-grade, Φ150~Φ250mm, 스테인레스 깔때기","stainless-steel funnel, high quality, medical-grade, φ150~φ250mm, 스테인레스 깔때기",,,
